423606, 0, 2309308, 418575, 20030127.0202220008, 2309309, 33, 0, 0, 0, 0, 20030222.2154339999, 0, 4026009, -9999, -9999, -9999
13458827, 0, 871788, 8569, 20010917.0709410012, 871792, 9, 0, 0, 0, 5, 20020402.0401340015, 0, 2260004, 0.19837151, 0.47116032, 3.6274345
11130852, 2, 879712, 11000, 20011005.172309, 701165, 5055, 0, 0, 1159, 1645, 20020419.0315590017, 0, 2278047, -0.061663669, 0.42765641, -28.589882
1706380, 0, 1778975, 24724, 20010926.2004350014, 1778974, 6, 0, 0, 0, 4, 20020314.1658260003, 1.7473619, 2269021, 0.016836444, 0.066584267, 18.247227
2604901, 0, 1069724, 20092, 20011021.2318109982, 1069725, 15, 0, 0, 0, 2, 20020521.1046489999, 0.62648046, 2294014, -0.66412783, 0.4822289, 33.304581
8457384, 0, 2008385, 22538, 20011121.0626030006, 2008342, 6, 0, 0, 0, 0, 20020711.2322439998, 0, 2325002, -9999, -9999, -9999
13343967, 2, 863182, 35270, 20011001.100145001, 863183, 3002, 2, 0, 369, 877, 20020331.2227459997, 24.108063, 2274010, -0.083677411, 0.40283799, -30.15204
7815332, 0, 1042048, 28380, 20011025.1033530012, 1042049, 3560, 0, 0, 472, 1291, 20020517.1842130013, 78.395546, 2298010, -0.30878431, 0.47335732, -13.020341
11688551, 0, 2318319, 245732, 20030203.1949120015, 2318321, 176, 0, 0, 0, 0, 20030223.1927450001, 0, 4034028, -9999, -9999, -9999
7236460, 0, 2324709, 293204, 20030203.0759389997, 2324710, 94, 1, 0, 2, 24, 20030224.1145440005, 4.0469742, 4034002, 0.44588172, 0.40459138, -78.58844
6132782, 0, 2293520, 103684, 20030126.0418340005, 2293522, 16, 0, 0, 0, 12, 20030221.1459550001, 0.63109249, 4025080, 0.40990633, 0.34594113, -77.032112
12057101, 1, 847502, 35057, 20010928.0722009987, 847512, 284, 0, 0, 6, 109, 20020328.1804240011, 0, 2271006, -0.010852803, 0.38068923, -22.275345
8579828, 0, 1116773, 24087, 20011030.0128180012, 1116774, 5290, 3, 0, 1165, 1761, 20020529.0133580007, 33.972633, 2302015, -0.32152528, 0.42486557, 12.225731
6664195, 0, 854389, 15467, 20011002.1017999984, 854390, 650, 0, 0, 13, 211, 20020330.0754510015, 0, 2275002, -0.013113979, 0.28790265, -21.711643
5454633, 0, 849954, 35409, 20010911.0459210016, 849955, 0, 0, 0, 0, 0, 20020329.1923479997, 17.557262, 2254002, -9999, -9999, -9999
11307894, 0, 2288443, 62374, 20030126.2206009999, 2288444, 54, 0, 0, 0, 15, 20030220.2320050001, 3.3884678, 4026004, 0.3421008, 0.41204858, -61.384563
505984, 0, 434791, 15296, 20010915.2133180015, 435368, 1, 0, 0, 0, 0, 20020331.0010330006, 1.2157341, 2258060, -9999, -9999, -9999
13394048, 0, 469456, 34001, 20010920.1000399999, 469454, 5, 0, 0, 0, 4, 20020406.0436449982, 11.21796, 2263019, -1.1174377, 0.43818823, -226.75237
14297201, 0, 1778166, 23806, 20010926.0645309985, 1778165, 1, 0, 0, 0, 0, 20020318.0247500017, 0, 2269002, -9999, -9999, -9999
3493300, 3, 1475365, 26689, 20011019.0531399995, 1475366, 4459, 0, 0, 710, 1448, 20011029.0033360012, 42.147751, 2292004, -0.28729266, 0.53441489, 20.029167
2896491, 3, 1517511, 28960, 20011002.1031470001, 1517508, 2303, 0, 0, 176, 871, 20020408.1653469987, 1.2193129, 2275002, -0.098704115, 0.4419663, -26.205564
14628258, 0, 1764350, 3549, 20010927.2226190008, 1764349, 25, 0, 0, 0, 6, 20020315.1543309987, 1.5204555, 2270052, 0.4607808, 0.036414035, -52.402462
4253224, 0, 1777198, 5956, 20010926.1941559985, 1777197, 171, 0, 0, 1, 69, 20020314.1237180009, 3.2235265, 2269021, 0.081999697, 0.44920471, -11.741934
4843500, 0, 383762, 4981, 20011002.0109240003, 383748, 3, 0, 0, 0, 2, 20020330.0944579989, 5.6555619, 2274064, -0.25372523, 0.63717163, 6.8792944
8960891, 3, 1865772, 9333, 20011116.1005069986, 1865713, 7007, 2, 0, 912, 2199, 20020618.1924009994, 23.136387, 2320011, -0.27338243, 0.39833352, -15.434926
15537799, 0, 1830301, 29828, 20011105.0147569999, 1830302, 274, 0, 0, 0, 106, 20020807.0142589994, 8.3813038, 2308024, -0.34670666, 0.43520975, -24.198084
5397137, 0, 488329, 21268, 20010923.1423510015, 488328, 294, 0, 0, 5, 133, 20020405.0526139997, 0.8422178, 2266013, -0.26813242, 0.50481027, 28.544123
1490809, 1, 1119436, 10618, 20011105.0259130001, 1119370, 5854, 0, 0, 917, 2012, 20020529.230037, 161.26884, 2308027, -0.28801751, 0.43841299, -26.275085
14950881, 0, 2329974, 119922, 20030202.1958019994, 2329976, 128, 1, 0, 11, 45, 20030224.235208001, 2.5283573, 4033023, 0.43359286, 0.31535685, -137.49709
7218516, 0, 0, 3919, 20011025.040922001, 0, 142, 0, 0, 1, 43, 20020323.041813001, 3.3691385, 2298001, -0.33782804, 0.50274676, -17.025984
8704201, 0, 1782958, 1598, 20010927.0842129998, 1782957, 412, 0, 0, 11, 188, 20020315.0226429999, 8.8520918, 2270008, -0.088638231, 0.24292277, -6.1458068
640453, 0, 2074804, 40065, 20011001.1641369984, 2074805, 73, 0, 0, 0, 0, 20020904.163307, 0, 2274024, -9999, -9999, -9999
9130479, 3, 1092901, 2295, 20011029.0015419982, 1092902, 5057, 0, 0, 756, 1663, 20020525.1430319995, 28.027422, 2301043, -0.31459263, 0.4328351, -8.6677122
